雪舟（せっしゅう、1420年（応永27年）-1506年（永正3年））は号で、15世紀後半室町時代に活躍した水墨画家・禅僧で、画聖とも称えられる。	Known as Sesshu (1420 - 1506), he was an ink painter and Zen monk active in the Muromachi period in the latter half of the 15th century, and was called a master painter.
日本の水墨画を一変させた。	He revolutionized the Japanese ink painting.
諱は「等楊（とうよう）」、もしくは「拙宗（せっしゅう）」と号した。	He was given the posthumous name "Toyo" or "Sesshu (拙宗)."
備中国に生まれ、京都・相国寺に入ってから周防国に移る。	Born in Bicchu Province, he moved to Suo Province after entering SShokoku-ji Temple in Kyoto.
その後遣明使に随行して中国（明）に渡って中国の水墨画を学んだ。	Later he accompanied a mission to Ming Dynasty China and learned Chinese ink painting.
作品は数多く、中国風の山水画だけでなく人物画や花鳥画もよくした。	His works were many, including not only Chinese-style landscape paintings, but also portraits and pictures of flowers and birds.
大胆な構図と力強い筆線は非常に個性的な画風を作り出している。	His bold compositions and strong brush strokes constituted an extremely distinctive style.
現存する作品のうち6点が国宝に指定されており、日本の画家のなかでも別格の評価を受けているといえる。	6 of his extant works are designated national treasures. Indeed, he is considered to be extraordinary among Japanese painters.
このため、花鳥図屏風などに「伝雪舟筆」される作品は大変多い。	For this reason, there are a great many artworks that are attributed to him, such as folding screens with pictures of flowers and that birds are painted on them.
真筆であるか専門家の間でも意見の分かれるものも多々ある。	There are many works that even experts cannot agree if they are really his work or not.
代表作は、「山水長巻」「夏冬山水図」「天橋立図」「破墨山水」「慧可断臂の図」「秋冬山水」「花鳥屏風」など。	Representative works include: Long Landscape Scroll, Summer and Winter Landscape, View of Amanohashidate, Broken Ink Landscape, Portrait of Ekadanpi, Fall and Winter Landscape, and Folding Screen of Birds and Flowers of the 4 Seasons.
弟子に、秋月、宗淵、等春らがいる。	His disciples include Shugetsu, Soen, and Toshun.
1420年備中国赤浜（現在の岡山県総社市）に生まれる。	He was born in Akahama, Bicchu Province (present-day Soja City, Okayama Prefecture), in 1420.
生家は小田氏という武家とされている。	He was born to a Samurai family called ODA.
幼い頃近くの宝福寺(総社市)に入る。	He entered nearby Hofuku-ji Temple (Soja City) while young.
10歳頃京都の相国寺に移り、春林周藤に師事、禅の修行を積むとともに、天章周文に絵を学んだ。	He moved to Kyoto's Shokoku-ji Temple at the age of around 10, and while studying and having Zen training under Shuto SHUNRIN, learned painting from Shubun TENSHO.
1454年（応永28年）ごろ周防国に移り、守護大名大内氏の庇護を受け、画室雲谷庵（山口県山口市）を構える。	In around 1454, he moved to Suo Province, and built his studio, Unkokuan (Yamaguchi City, Yamaguchi Prefecture), with the patronage of the feudal lord, Ouchi.
1465年（寛正6年）ごろ、楚石梵&29734（そせきぼんき）による雪舟二大字を入手し、龍崗真圭に字説を請。	In around 1465, he acquired a calligraphy work by Bonki SOSEKI on which the characters of Sesshu were written, and requested Shinkei RYUKO to write a certificate about the origin of the name, Sesshu.
以後、雪舟を名乗ったものと思われる。	It is believed that after that, he came to be known as Sesshuu.
これ以前は拙宗等楊と名乗っていたと思われるが、拙宗と雪舟が同一人物であることを示す確実な史料はない。	It is thought that until this time he was known as Touyou SESSHU, but there is not a firm source to indicate that SESSHU and Sesshu were the same person.
1468年（応仁2年）に遣明使船で明へ渡航。	In 1468, he sailed to Ming Dynasty China with a mission.
約2年間中国で本格的な水墨画に触れ、研究した。	He familiarized himself with authentic Chinese ink painting and studied it for about 2 years.
1481年（文明13）秋から美濃国へ旅行。	In the fall of 1481, he traveled to Mino Province.
没年は、確実な記録はないが1506年とするものが多い。	There is no reliable record of the date of his death, but most put it at 1506.
1502年とする説もある。	Other records write that he died in 1502.
雪舟の生涯には没年以外にも謎とされる部分が多い。	In addition to the date of his death, there are many other aspects of Sesshu's life that remain unknown.
